no,year,month,value
1,2006,1,113.67
2,2006,2,113.10
3,2006,3,113.58
4,2006,4,112.26
5,2006,5,111.33
6,2006,6,112.86
7,2006,7,115.02
8,2006,8,117.55
9,2006,9,116.83
10,2006,10,116.98
11,2006,11,118.83
12,2006,12,123.81
13,2007,1,124.71
14,2007,2,125.64
15,2007,3,124.27
16,2007,4,113.51
17,2007,5,111.18
18,2007,6,112.82
19,2007,7,113.01
20,2007,8,114.31
21,2007,9,115.42
22,2007,10,115.63
23,2007,11,114.82
24,2007,12,116.02
25,2008,1,99.10
26,2008,2,97.90
27,2008,3,94.49
28,2008,4,92.85
29,2008,5,94.18
30,2008,6,95.82
31,2008,7,96.53
32,2008,8,96.95
33,2008,9,96.85
34,2008,10,96.01
35,2008,11,96.08
36,2008,12,96.94
37,2009,1,97.06
38,2009,2,97.33
39,2009,3,96.23
40,2009,4,96.25
41,2009,5,96.10
42,2009,6,96.37
43,2009,7,96.91
44,2009,8,97.79
45,2009,9,98.41
46,2009,10,98.23
47,2009,11,98.02
48,2009,12,97.79
49,2010,1,98.27
50,2010,2,98.04
51,2010,3,98.56
52,2010,4,97.55
53,2010,5,97.19
54,2010,6,97.99
55,2010,7,99.68
56,2010,8,99.84
57,2010,9,99.98
58,2010,10,101.27
59,2010,11,101.52
60,2010,12,101.46
61,2011,1,102.36
62,2011,2,102.50
63,2011,3,103.05
64,2011,4,103.10
65,2011,5,103.65
66,2011,6,104.30
67,2011,7,104.75
68,2011,8,105.59
69,2011,9,106.16
70,2011,10,107.31
71,2011,11,107.91
72,2011,12,108.17
73,2012,1,108.51
74,2012,2,108.03
75,2012,3,107.87
76,2012,4,107.23
77,2012,5,107.33
78,2012,6,108.36
79,2012,7,108.83
80,2012,8,109.05
81,2012,9,109.41
82,2012,10,110.26
83,2012,11,110.73
84,2012,12,111.55
85,2013,1,105.43
86,2013,2,104.59
87,2013,3,103.49
88,2013,4,102.95
89,2013,5,103.34
90,2013,6,103.56
91,2013,7,103.52
92,2013,8,102.94
93,2013,9,103.34
94,2013,10,104.27
95,2013,11,104.27
96,2013,12,104.03
97,2014,1,103.84
98,2014,2,104.15
99,2014,3,104.64
100,2014,4,103.79
101,2014,5,104.00
102,2014,6,104.23
103,2014,7,104.79
104,2014,8,104.20
105,2014,9,104.16
106,2014,10,105.04
107,2014,11,105.19
108,2014,12,105.16
109,2015,1,105.95
110,2015,2,105.69
111,2015,3,105.41
112,2015,4,102.78
113,2015,5,102.48
114,2015,6,103.08
115,2015,7,104.17
116,2015,8,104.11
117,2015,9,105.95
118,2015,10,106.80
119,2015,11,107.20
120,2015,12,107.24
121,2016,1,107.54
122,2016,2,107.42
123,2016,3,105.84
124,2016,4,104.67
125,2016,5,104.29
126,2016,6,104.08
127,2016,7,104.32
128,2016,8,103.94
129,2016,9,104.15
130,2016,10,104.01
131,2016,11,103.78
132,2016,12,104.31
133,2017,1,103.25
134,2017,2,102.53
135,2017,3,102.37
136,2017,4,102.87
137,2017,5,103.94
138,2017,6,104.46
139,2017,7,104.48
140,2017,8,105.37
141,2017,9,105.98
142,2017,10,107.36
143,2017,11,108.02
144,2017,12,108.39
145,2018,1,109.25
146,2018,2,109.27
147,2018,3,108.26
148,2018,4,107.45
149,2018,5,107.87
150,2018,6,108.57
151,2018,7,108.03
152,2018,8,108.94
153,2018,9,109.61
154,2018,10,109.77
155,2018,11,110.10
156,2018,12,110.90
157,2019,1,111.55
158,2019,2,111.42
159,2019,3,109.91
160,2019,4,109.69
161,2019,5,109.67
162,2019,6,109.52
163,2019,7,109.27
164,2019,8,110.18
165,2019,9,110.97
166,2019,10,111.36
167,2019,11,112.24
168,2019,12,112.36
